Model,Accuracy,Precision,Recall,F1_score
LogisticRegression,0.8361344537815126,0.8361048707940612,0.8361344537815126,0.8359861591695502
RandomForest,0.9411764705882353,0.9413595658976665,0.9411764705882353,0.9412014575741801
AdaBoost,0.8697478991596639,0.8697900325054281,0.8697478991596639,0.8696300239552834
GradientBoosting,0.9117647058823529,0.9145132941924385,0.9117647058823529,0.9118348340766921
XGBoost,0.9243697478991597,0.9245647325143979,0.9243697478991597,0.9244018740239459
LightGBM,0.9201680672268907,0.9211074130860226,0.9201680672268907,0.9202315793633544
CatBoost,0.9411764705882353,0.9412433155080213,0.9411764705882353,0.9411430884335007
