Model,Accuracy,Accuracy (%),Precision,Precision (%),Recall,Recall (%),F1_score,F1_score (%)
RandomForest,0.9411764705882353,94.12,0.9413595658976665,94.14,0.9411764705882353,94.12,0.9412014575741801,94.12
CatBoost,0.9411764705882353,94.12,0.9412433155080213,94.12,0.9411764705882353,94.12,0.9411430884335007,94.11
XGBoost,0.9243697478991597,92.44,0.9245647325143979,92.46,0.9243697478991597,92.44,0.9244018740239459,92.44
LightGBM,0.9201680672268907,92.02,0.9211074130860226,92.11,0.9201680672268907,92.02,0.9202315793633544,92.02
GradientBoosting,0.9117647058823529,91.18,0.9145132941924385,91.45,0.9117647058823529,91.18,0.9118348340766921,91.18
AdaBoost,0.8697478991596639,86.97,0.8697900325054281,86.98,0.8697478991596639,86.97,0.8696300239552834,86.96
LogisticRegression,0.8361344537815126,83.61,0.8361048707940612,83.61,0.8361344537815126,83.61,0.8359861591695502,83.6
