latency_ms,memory_delta_bytes
33.148600021377206,5382144
25.203799945302308,450560
23.048699949868023,8192
32.30289998464286,4096
27.394199976697564,0
24.857399985194206,0
33.48590002860874,0
31.451200018636882,0
30.050500063225627,0
31.735299970023334,0
27.6142000220716,0
29.63380003347993,0
35.412600031122565,0
31.805000035092235,0
29.652500059455633,0
33.80110010039061,0
56.13509996328503,0
30.309599940665066,0
31.336999963968992,0
28.599599958397448,0
28.90040003694594,0
27.05249993596226,0
32.108500017784536,0
32.49570005573332,0
34.15740001946688,196608
363.3561000460759,-18309120
150.66389995627105,897024
31.837599934078753,0
31.16709995083511,0
29.244599980302155,0
26.752399979159236,0
28.882100014016032,0
57.144799968227744,0
43.644399964250624,0
39.14230002555996,0
36.34339990094304,0
29.275899985805154,0
29.542700038291514,0
26.800199993886054,0
28.62609992735088,0
26.55449998565018,0
26.708199991844594,0
27.22010004799813,0
26.573400013148785,0
29.126000008545816,0
27.386699919588864,0
31.24849998857826,0
41.48939996957779,0
34.360900055617094,0
42.09530004300177,0
26.755200000479817,0
27.46879996266216,0
278.92890002112836,0
119.31919993367046,0
67.84300005529076,0
33.32239994779229,0
35.17530008684844,0
29.444399988278747,0
244.90300007164478,-847872
34.04009994119406,847872
26.96830010972917,0
25.902200024574995,0
27.14719995856285,0
28.42640003655106,0
26.88959997612983,0
28.979499940760434,0
26.727900025434792,0
26.771700009703636,0
28.733700048178434,0
28.57419999781996,0
28.16530002746731,0
27.26910007186234,0
21.180700045078993,0
20.620599971152842,0
19.82550008688122,0
22.21209998242557,0
20.561299985274673,0
20.537000033073127,0
23.415800067596138,0
29.44539999589324,0
27.637500083073974,0
30.331999994814396,0
32.1255000308156,0
29.03330000117421,0
32.78200002387166,0
37.39710000809282,0
33.698400016874075,0
33.59719994477928,0
28.739699977450073,0
38.22939994279295,0
37.72740007843822,0
22.485900088213384,0
26.492799981497228,0
33.332500024698675,0
31.05580003466457,0
34.74759997334331,0
36.66049998719245,0
35.16940004192293,0
36.33219993207604,0
44.828200014308095,0
32.3361000046134,0
25.567500037141144,0
25.81819996703416,0
21.18109993170947,0
22.356300032697618,0
22.086999961175025,0
24.56639998126775,0
21.48899994790554,0
21.725500002503395,0
20.854300004430115,0
20.384699921123683,0
20.59430000372231,0
21.64020005147904,0
20.866599981673062,0
26.134199928492308,0
20.4595000250265,0
21.81240008212626,0
20.416999934241176,0
24.078099988400936,0
22.588000050745904,0
27.233599917963147,0
20.938600064255297,0
21.05339989066124,0
29.859400005079806,0
27.879299945198,0
28.490500058978796,0
31.664200010709465,0
29.015199979767203,0
34.98939995188266,0
33.45769993029535,0
27.08990010432899,0
33.98639999795705,0
43.477300088852644,0
29.514900059439242,0
30.340599943883717,0
24.64499999769032,0
20.580400014296174,0
20.349500002339482,0
22.96770003158599,0
20.608399994671345,0
20.415900042280555,0
19.74669995252043,0
23.414200055412948,0
20.025699981488287,0
20.08289995137602,0
22.18840003479272,0
22.285099956206977,0
19.018699997104704,0
20.982699934393167,0
20.93199989758432,0
25.969899957999587,0
22.14519993867725,0
20.229600020684302,0
20.617800066247582,0
23.601399967446923,0
20.20469994749874,0
20.54559998214245,0
24.43869994021952,0
20.492700044997036,0
20.146099966950715,0
21.74969995394349,0
25.31190006993711,0
20.68189997226,0
19.98400001320988,0
20.873200031928718,0
21.70529996510595,0
20.972999976947904,0
18.74810003209859,0
25.90590005274862,0
22.568600019440055,0
31.282000010833144,0
24.092699983157218,0
23.605199996381998,0
29.704499989748,0
26.386199984699488,0
27.15920004993677,0
31.35059995111078,0
28.077000053599477,0
30.866999994032085,0
33.12109992839396,0
28.2217999920249,0
28.332200017757714,0
33.23549998458475,0
27.85300009418279,0
27.515299967490137,0
34.79569999035448,0
30.336500029079616,0
27.12850004900247,0
22.252499940805137,0
19.852199940942228,0
20.572599954903126,0
19.783499999903142,0
22.704600007273257,0
21.25069999601692,0
22.42569997906685,0
19.944899948313832,0
22.6981999585405,0
22.57679996546358,0
21.16759994532913,0
23.9904000191018,0
20.533100003376603,0
21.203499985858798,0
171.23560002073646,-225280
20.15750005375594,290816
19.33769998140633,0
20.810799906030297,0
22.82270009163767,0
20.354900043457747,0
19.884199951775372,0
20.50120010972023,0
20.84020001348108,0
21.292899968102574,0
20.93659993261099,0
27.414500014856458,0
20.54069994483143,0
20.57029993738979,0
22.007000050507486,0
23.905899957753718,0
22.080899914726615,0
27.271199971437454,0
35.13229999225587,0
44.63320004288107,0
68.1161000393331,0
59.09190000966191,0
93.8985999673605,0
58.77650005277246,0
27.989699970930815,0
30.65129998140037,0
21.089600049890578,0
29.09259998705238,0
21.771800005808473,0
20.20599995739758,0
20.903000026009977,0
24.116700049489737,0
21.512500010430813,0
20.76599991414696,0
20.5721000675112,0
24.9165000859648,0
31.400200095959008,0
28.53089990094304,0
41.949499980546534,0
44.059099978767335,0
