iter	Logloss
0	0.6922488582
1	0.6914500736
2	0.6908240145
3	0.6895529217
4	0.6885971777
5	0.6876948326
6	0.6870464833
7	0.686150975
8	0.6849777244
9	0.6839632249
10	0.6832121735
11	0.6818951434
12	0.6808141284
13	0.6800961666
14	0.6791555919
15	0.678277861
16	0.6771185298
17	0.6759647097
18	0.6748121414
19	0.6739402734
20	0.672997215
21	0.6713558234
22	0.6702136476
23	0.6689295966
24	0.6681513272
25	0.6673921343
26	0.6667661469
27	0.665514908
28	0.6640588738
29	0.6634379804
30	0.6623867758
31	0.6614082865
32	0.6605550505
33	0.6594740085
34	0.6587113231
35	0.6576346107
36	0.6568723202
37	0.655460231
38	0.654273086
39	0.6537899882
40	0.6532654628
41	0.6523530781
42	0.6517613105
43	0.650519564
44	0.6495383807
45	0.6483660057
46	0.6478113703
47	0.646423357
48	0.6457134254
49	0.6446241662
50	0.6438089021
51	0.6432268627
52	0.6422892168
53	0.6412460908
54	0.6401687652
55	0.6391096167
56	0.6381924845
57	0.6372838914
58	0.6360383675
59	0.6348359227
60	0.6340256825
61	0.6328251258
62	0.6317651302
63	0.6307103962
64	0.629655087
65	0.6282801956
66	0.6273837641
67	0.6263312101
68	0.6253979564
69	0.6246869266
70	0.6237190828
71	0.6226184741
72	0.6215549946
73	0.6203535601
74	0.6195047408
75	0.6183417141
76	0.617030102
77	0.6160412401
78	0.6150171742
79	0.6139248773
80	0.6135518655
81	0.6128884867
82	0.6119480714
83	0.6111766353
84	0.6100924656
85	0.6091850907
86	0.6081777349
87	0.6071157858
88	0.6064651668
89	0.6055717856
90	0.6047491863
91	0.6043114305
92	0.6035686001
93	0.602945292
94	0.6019458964
95	0.6012422174
96	0.6001220122
97	0.5996893629
98	0.5987744331
99	0.5981805921
100	0.5969640329
101	0.595981887
102	0.5951438934
103	0.5943088368
104	0.5934393913
105	0.5921938568
106	0.5917391628
107	0.5907722205
108	0.589803274
109	0.5886385337
110	0.5875503287
111	0.5861631185
112	0.5853243023
113	0.5846482828
114	0.5840407521
115	0.5830999285
116	0.582645762
117	0.5818358868
118	0.5808207273
119	0.5797462523
120	0.5790481269
121	0.5784432083
122	0.5774483263
123	0.5765756726
124	0.5758839726
125	0.5750143647
126	0.5742499352
127	0.573314023
128	0.5722591907
129	0.5713310242
130	0.5707682729
131	0.5700392872
132	0.569115299
133	0.5685130477
134	0.5675389737
135	0.5665864259
136	0.5658400029
137	0.5649952352
138	0.5640190125
139	0.5633890599
140	0.5629036307
141	0.562331295
142	0.5614251256
143	0.5606679261
144	0.5597633928
145	0.558740747
146	0.558082208
147	0.5574900389
148	0.5565960586
149	0.555586201
